"488nm525-40-A","488nm525-40-H"
1251.7,1479.8
1302.1,1343
6401.9,6402.3
1693,1992.3
7441,7150.3
6656.2,6914.1
1290.2,1609.9
2390.1,2168.2
840.9,1139.7
1276.2,910.4
9390,10235
1135.3,1219.5
2703.2,2834.4
3681.3,3454.2
1856,1961.7
2464.6,2515.2
3215.6,3163.2
2033.2,2212.4
944.1,1092.1
13802.7,13922.1
952.6,1108.2
3831.4,3810.2
1435.9,1639.2
7290.6,7396.9
4812.1,4922.5
758.8,952.5
5256.1,5834.3
1523.2,1795.2
463.1,817.8
821.7,906.6
1118.7,1156.4
6317.7,5771.8
3716.6,4319.5
1190.7,1392.8
8900.6,9085.9
2714.7,2337.9
303.1,759
4879,5002.3
658.6,1040.5
4812.1,5189.9
1490.8,1724.3
1248.3,1420
1966.6,2014.7
3234.6,3367.1
1380.1,1438.4
1738.9,1844.5
1559.8,1906.6
731,693.9
1328.9,1335.3
1403.1,1483.9
7305.8,7695.4
4290.1,2402
3172.4,3617
9526.4,9951.2
2884.1,3222.2
3559.5,3437.7
15566.2,15889.7
2316.1,2435
2795.6,2645.9
1061.6,1090.1
14943.2,14646.3
908.2,885.1
4005.1,4543.6
778.6,722.7
3470.3,2081.2
1225.9,1488.3
1772.9,2192.2
9050.9,9342.6
3085.5,3334.7
891,1249.4
2387.1,2385.7
2515.2,2938.5
1942.7,1954.6
2965,3030.8
967,1263.5
746.5,973.8
1861.3,2118
2162.3,2629.4
132.6,492.3
3158.9,2986.1
7517.9,7768.2
3252.2,3298.8
823.7,538.3
1478,1413.8
1712.3,1985.3
3823.5,3956.5
1529.3,1739.4
1443.6,1419.1
8303.9,8330.3
4605,4198.3
18111.5,18522.8
741.3,849.5
5622.4,6041.2
10186.2,9522.1
1434.7,1705.9
8346.4,8705.7
2310.3,2447.6
2236.8,2504.7
1941.9,2043.7
3045.9,3051.9
2234.4,2252.1
2633.3,3033.8
1396.5,1467
1136.7,1246.1
1477.1,1727.4
2731.5,2666
1477.8,1902.2
11392.4,11426.8
5034.8,5315.5
972.7,1129.2
13800.9,13723.2
1343.6,1688.3
1462.5,1289.7
5348.5,4705.2
1301.6,1339.2
2675.4,2802.5
2420.6,2780.1
7728.7,7386.1
1749,2162.7
3183.6,1884.2
4741.2,4733.7
12208.4,12561.1
2094.7,2460.8
16717.6,16660.6
4485.9,4607.2
1655.2,1593.3
959.1,956.9
3707.3,3412.9
1430.8,1979.6
3188.2,3189.8
10810.5,10992.1
4708.8,4744.5
1903.8,2053.8
988.2,1315.2
818.2,914.6
2127.2,1947.8
4218.1,3925.9
551.7,985.9
2079.9,1957.1
473,506.3
1767.5,1459.7
5886.1,5885.9
226.8,604.3
5865,5767.6
7833.9,4964.5
2417.2,2116
7614.9,7912.7
4026.5,3997.9
674.1,1194.8
1826.2,2183.9
7276.7,7282.1
37745.3,35953.2
1845.8,2335.4
2650.1,2546
1427.4,1393
1095.9,1277
672.3,753.1
4947.9,4630.5
766,845.7
608.7,905.7
2107,2169.7
1216.7,1305.7
1613.7,2093.4
212207,209019
2460.3,2463.1
1780.1,2426.7
1803.9,2040.2
8351.7,8650.5
5145.6,5039
1444.1,1809.7
9608.7,9322.6
707.3,1197.3
2587.8,3185.2
1181.4,1300.6
3794.5,4238.8
2609.7,3215.3
3752,3974.6
11643.5,11789.8
7785.3,7691.1
1297.6,1508.2
5229.3,4849.8
9877.9,10649
6725.5,6117.8
698.9,876.5
1555.9,1483.6
1524.6,1946.4
2584,2893.8
1589.8,2229.2
3221.3,3057.3
4567.3,4419.4
1779.6,1571.1
1927.4,2089.8
1089,1200.3
4986.5,4914.8
866.4,937.2
562.3,940.8
1661.3,1999.6
3336.9,3459.9
1262.3,1693.8
3486.9,3668.3
4927.8,5251.5
6491.3,6768.3
1633.3,1382.2
6288.6,6147.2
962.6,1246.2
1364.5,2161.2
5259.8,4793.8
1485.9,1370.5
358.1,644.1
914.2,1051.6
1948.9,2081.1
1496.9,1426.2
721.1,1020.6
10627.6,11069.1
3549.4,3471.2
887.1,1330.7
197.2,516.3
1242,1192.1
611.4,695.1
1531.6,1306.3
2318.1,2306.6
519.7,867.2
1935.7,1836.4
36788.6,36160.4
6618.1,6701.9
6227.7,6981.8
357.6,967
6335,6531.7
5138,5052.3
15284.6,14240.5
2904.2,2235.1
1679.3,1508.3
2027.8,2116.9
1358.6,1862.7
5399.6,5623.1
2058.1,2556.1
1001.7,1258.9
104,615.6
6660.9,7036.5
7537.9,7192.7
1544.5,2173.9
1863.1,2442.8
1122.2,1783.9
2326.9,2855.3
4603.8,4777.2
5471,5715.3
8197.4,8543.2
860,1058.2
5874.7,5429.3
3967.4,4182.5
7507.1,7725.9
4545.4,4512.7
1463.7,1709.1
594.1,752.4
5377.1,4879.6
3409.1,3874.7
929.4,936.2
744.4,768.4
2774.5,4054.7
1722.3,2173.9
345.3,1347.3
5426.4,5328.2
1195.9,1769.4
2016,2356.8
2397.4,2421.4
3040.3,3152.3
1878.2,1798
3370.6,3107.2
2366.7,2396
817.6,1108.2
1547.7,1907.6
1348.2,1477.7
2053.1,2868.6
1584.3,1722.3
4005.9,4055.2
3472.4,3314.1
13275.7,13449.3
2589.1,2666.5
1483.3,1499.6
653.2,1228.3
2038.9,2287.1
13056.1,12882.6
1614.7,1643.2
2435.7,2362.6
919.2,1644.4
20732.2,19843.8
8367.1,8583.5
5842.6,5029.9
2956,2330.3
3967.5,4099.7
3013.6,3400.5
2554.6,3045.9
3855.1,4198
16605.3,15788.9
124.1,764.1
1414.5,1663.6
456959,431548
9341.5,9085.9
1966,2541.9
1698.6,1690.8
2199.2,1519.9
2354.9,2689.8
3294.9,3343.3
4197.1,4546
8808.4,9269
684.1,904
706.7,1117.6
4129,3706.2
996.4,1390.3
746.1,670.2
1684.7,1741.3
2193.5,2277.7
2970.2,2873.7
3170.5,3601.7
3430.7,3889.7
526.7,765.4
2201.1,2261.9
7263.1,7658.1
8366,8336.2
7157.7,7260.4
1918.1,1847.6
6259.7,6612.6
322.4,560.2
3396.9,3022.6
5144.4,5016.4
31744,31166.7
11099.5,10657.4
4515.2,4514.5
1189.2,1658.6
791.5,1198.8
1419.5,1631.5
355.8,725.4
8361.6,8764.3
1374.3,1139.1
1200.4,1317.8
567.1,996.2
3628.2,3274.8
431.2,698.3
716.7,988.3
4671.6,4802.4
9146.1,6402.2
709.3,1109.2
1910.8,1833.3
3669.5,3492.5
1495.8,2075.4
2551.9,2649.8
8578.1,8692.9
1487.5,918.3
17851.9,17329.2
5868.7,6097.9
12866.3,10628.8
608.9,1307.7
19767.8,18293.8
1886.9,2308.1
1611,2228
3443.8,3745.8
7917.6,8074.4
1206.5,1275
687.9,740.3
1180.2,1334.1
809.1,881.4
11066.6,11546.4
2032.3,1963.2
3139.8,3387.5
15065.3,15123.2
900.6,1197.3
432.9,811.1
1940.1,2125.3
5621.7,5948.3
1847.1,2299.6
3405.5,4069.5
16005.5,16071.4
7184.4,6530.4
1569.6,1653.4
2198.2,2108.6
1006.5,982.8
3570.2,3016.1
1792.9,2102.5
3348.7,3114.8
1013.7,936.9
2356.8,2336.1
6305.9,5945.7
817,984.6
1291.8,1277.1
2407.4,2307.3
2090.1,2460.6
1202.4,1494.5
1294.3,1746.6
7614.6,7395
84084.5,84023.4
2294.7,2055.6
4436.1,4576.3
3723.6,4037.5
1492.3,1529.2
3834.2,4051
3043.4,3607.1
1116.1,1526.7
10445,9680.6
6319.8,6087
595.4,1288.9
10861.9,11772.7
964.4,1248.6
7838.8,7893.5
6638.3,6400.3
1406,1911.4
476552,461570
4048.2,4068.1
996.6,1562.8
45060.9,43682.1
1244.3,1752.5
703.9,1245.6
1309.3,2047.1
6678.1,6456.7
4053.3,3356.3
1955.5,1945.1
1181.9,1613.3
3826.2,4151.9
4795.1,4715
933.6,760.6
4148.5,4394.7
509.5,1000.7
3167.3,3523.9
2908.4,2937.2
1725,1809.4
12312.5,12134.2
1283.3,1027.7
1582.6,1890.5
4190.6,4065
278,677.9
21112.1,21111.2
1249,1486.1
1947.2,2203.7
1422.7,1600.1
1490.2,2147.9
2456.4,2472.9
990.4,1284.5
1280.1,1367.7
2673.4,2626.2
1447.6,1533.2
2432.1,2555.9
4084.8,4396.1
1893,1436.6
1856.8,1808.2
1165.4,1275.5
5406.8,5753.3
5056.3,5089.9
2700.9,2954.9
1804.2,2042.8
1608,1854.9
13637.1,13174.8
497.7,799.7
7045.6,6807
2972.1,3227.7
1338.6,1408.2
1587.6,1885.1
2777.8,2943
1221,1909
5882.9,5635.6
1501.6,1993.8
3596.6,3852.9
5918.7,6365.8
1827.6,2008.2
1037,1018.1
317.1,905.1
3586.2,3522.4
619.7,995.6
1170.7,1106.1
2316.6,2045.8
1293.6,1312
7702.3,7652.8
5989.5,5853.6
6218.3,5829.1
1675.3,1961.7
1345,1258
1642.9,2761.4
2038.1,1891.9
2225.8,2579.1
898.2,1266.5
3300.3,3043
5002.9,5135
58679.9,58189
2857,2809.3
8607.9,8752
2522,2591.8
1185,1477.5
1270.1,1507.5
2281.5,2511.6
3358.5,3496.2
1369.6,1329.3
2178.6,1452.5
1952.5,2437
10923.5,11319.5
1075.8,1468.5
954.9,1147.1
968.7,1318
1484.2,1578.5
2801.9,3057.8
8616.9,8991.1
1218.9,1533.3
2852.1,3036.9
1629.1,1600.7
582.3,642.3
993.5,968.7
6304.3,7106.6
1780.5,1935.4
5025,5412.3
537.6,960
2562.2,2437
409.1,728.5
1513,1636
2004.4,1934.6
1031.9,1269
1351.5,1455.2
1242.6,1564.9
1719.2,1643.3
827,1334.4
10467.3,10352.5
3882.5,3832.2
1632.3,1552.3
10775.6,10144.3
2255,2425.7
711.1,611.2
1893.9,2330.5
1662.1,2244.1
562.2,1260
2932.7,2730.1
591.6,700.2
4201.4,4098.2
542.7,937.3
1695.6,940.9
3432.8,3988.9
9866.1,10186.7
920.8,1723.6
434.7,645.8
