"488nm525-40-A","488nm525-40-H"
89512.8,89479.1
242414,151823
142652,144267
126725,122718
191549,190263
128575,108361
167640,168614
255168,247956
242746,239685
130447,131113
93919.5,93225.5
114255,118079
190744,195489
148376,147492
146216,146169
150857,151997
171240,166619
219547,159181
165265,165598
167059,158860
243053,238706
174625,161733
542062,554662
142155,134269
96121.6,98281.5
123699,124911
157073,152279
106122,103921
294767,285078
179946,176898
137843,139319
115830,115824
110652,112377
123655,125353
189913,188150
112062,104996
212860,206681
97721.9,98287.5
265456,162661
96468.4,95356.3
97923.2,98801.6
131113,128753
847662,849346
150454,144033
47211,47857.5
128076,124554
102564,99932.9
129846,125063
165499,166026
147160,140494
433301,253900
148016,136182
449998,258595
453251,446373
133772,125718
148544,154595
131441,132077
107661,106680
95433.2,95026.2
417896,422968
116608,115628
120135,123328
263570,257424
136306,134715
82259.7,81903.1
163347,164467
89924.7,88605.3
134080,123538
153299,148999
350103,247253
139576,134931
142791,140378
211541,206718
127852,124223
200467,191914
177738,172475
114990,113434
458557,439310
99133.5,101966
165040,164366
171903,173982
126029,124340
178174,173788
70107.5,71596.9
170469,171123
112377,111535
123333,121684
70556.7,69306.1
304372,305234
119852,120581
275799,272377
126645,125447
116658,114677
141216,141602
59029.7,58937.9
175023,178497
142462,136753
127086,121656
131587,129903
155130,146434
207509,194915
295182,291922
247031,243683
101416,98828.8
263050,242525
196544,190045
67593.8,67130.7
106458,103571
53045.3,52821.5
133565,134068
502660,505140
123604,124917
71944.8,74966.9
211406,211997
184897,184575
180358,166819
230019,223166
97094.7,100845
195098,178202
144376,144086
581042,567737
145956,144086
158270,154346
175751,176344
153768,144223
134120,134160
257522,255487
177465,171689
206581,201840
194537,177635
160122,156187
94783.4,91320.3
226427,226686
171978,167958
213051,212748
306348,289279
286208,269519
233317,218020
144974,125757
115033,112156
103681,102330
107787,106056
137137,135543
187906,182956
194352,196062
147884,143311
579708,567375
91125.6,92799.1
105992,106545
258895,258209
113606,116122
126811,126264
634266,535170
260564,138920
142799,141095
153828,150458
160862,158773
127599,120932
180785,179078
153458,141632
230092,225770
180573,179980
122937,123018
79579.2,80724.6
27107.7,28971.2
139565,138917
209731,206722
172990,169988
190694,185238
168438,166219
142062,140018
359117,348430
133628,133384
139326,135797
187803,161778
185107,185015
309098,168099
264479,262834
127609,126750
83010.2,82117.4
79011.8,80913.1
173464,172430
153996,143826
90244.3,88313.3
185917,190044
126852,127686
210819,206590
244245,121499
119316,121607
152190,153377
136246,132013
176436,168143
190791,189472
180976,178283
152412,148634
136185,126690
133917,126912
38173.1,37522.1
141364,135593
292425,271624
108743,108277
105565,105542
93925.9,96092.5
314194,311640
146613,142756
177964,175206
111187,108380
196960,195095
92462.9,94638.9
102654,102948
96361.2,95268.2
156307,151672
87132.2,88336.3
235853,231219
202536,202557
220932,217374
208632,207309
192251,187172
201153,194935
118873,114661
172941,171116
142169,137229
94364.8,92900.5
52752.4,51760.4
119717,119995
213641,207958
227081,215599
159417,160524
169373,160446
149640,148673
491982,482417
127421,120746
152560,144781
217270,202173
79278.4,81444.4
365362,369384
99546.8,101408
341940,315722
109346,110457
201040,197356
125648,126925
166214,166743
83033.4,85866.1
136308,128925
144627,144994
133690,127052
123519,119974
106674,106553
235514,218648
151333,146852
166374,163250
181496,178315
94810.7,93800.7
112091,110873
122393,120646
191781,183039
199159,185031
200303,185918
167401,166784
351853,330368
134238,128070
327575,222698
92587.8,89331.6
136137,136896
227127,224427
171997,168614
102082,100430
153140,150195
154786,149284
103513,98121.9
216330,201543
131402,133529
82785.7,75142.7
242499,225332
148345,130275
457032,282425
170035,169009
104800,106518
118796,122546
286219,274684
185927,181180
133667,135512
228749,226627
156483,156262
141145,139013
94907.3,96712.1
141986,140337
103508,101804
129811,129194
212671,215542
348455,356950
167176,163902
104999,102804
179965,177236
88189,86712.5
158761,160124
156178,155724
263918,263614
163774,160053
75131.7,75952.2
187594,178843
212302,206003
172944,170617
97706,98207.3
140647,136457
121737,119347
190890,194334
68611.5,72233.1
161328,151745
68318.1,69673.7
160121,159446
155130,153728
104648,106475
168778,162847
51314.9,52102.2
200841,203142
205659,202021
114257,112252
106957,109623
147868,140165
194800,193421
83858.4,85499.4
348141,336613
194331,187094
136138,131695
104520,101952
137814,137729
152161,153956
89024.7,89814.2
62518.5,63581.5
146238,143143
128569,129306
167206,171981
130655,133133
276603,174656
128155,128865
127943,125460
140040,137516
156111,155180
108128,102934
170352,168968
207244,197408
20150.8,22118.7
212346,215153
113026,112296
142205,140286
138585,138148
183019,185329
182259,177177
60412.7,62040.2
150616,145114
181560,175633
219470,215070
118397,122506
181632,182647
383311,387315
163304,154273
99491.6,93508.6
168986,163165
174943,174216
147035,149993
104645,104978
251634,250338
307117,185447
242029,237728
153696,140996
744028,730809
120412,116530
90628.7,90521.8
130329,132112
326880,322242
141528,142067
213946,212050
182821,179865
56406.6,57676.1
123371,111298
98834.9,97134.5
163443,162850
102619,98488.1
180374,182097
214052,210397
151603,146647
164082,160972
90956.2,88545.8
113509,111970
256680,249564
107100,108778
72997.4,68634.2
133768,131786
400171,274177
197851,197633
39566.3,41691.9
183002,180405
77009.7,58227.5
24759.8,26757.6
125031,124090
104984,105806
396757,397070
441739,439047
177474,181546
91543.4,92169.6
112508,106016
125643,124269
117772,116956
116129,111943
187434,186897
71448.3,71746
100400,101665
83473.8,84729.7
111341,110166
152254,138847
105076,103730
95400.4,93489.2
129160,129738
161796,157680
322195,324024
212088,208242
104555,98700.4
113967,117976
83672.1,82641.1
105991,106861
160532,152193
148100,138560
156827,152126
176602,171106
159050,139714
125607,120709
100256,86858.4
239525,236977
140890,140897
81154.5,82417.5
198339,195951
195755,192768
255177,232517
74553.6,66184.3
162418,131956
118213,113378
130724,125640
97213.5,95456.5
152160,147566
236892,233782
139910,140642
40919.4,41773.1
93661.7,91459.2
180848,175434
273098,157765
173294,173217
374475,362555
180706,179277
113882,114053
95214.1,87440.2
194612,196720
125135,124878
151971,146449
129444,129106
253948,254734
181413,179111
318566,308627
154162,152522
34310.9,34772.3
121704,120824
85643.4,84971.2
171683,170717
109720,109729
95939.3,95454.9
146762,142394
125252,125631
164801,165206
184736,179510
300888,300408
301207,152624
114855,118362
395128,404091
102616,102215
308226,213496
234086,226425
119398,118200
116874,113551
214065,205985
91382.5,95520.2
233138,225502
82729.2,83633.4
248346,253733
131162,130030
249800,249735
260519,250257
711067,691493
228108,227254
112636,111934
142516,138923
178715,178370
103914,105327
196704,199050
509869,508118
111852,109036
197327,188599
135502,133252
249917,237896
143972,128102
74953.7,76093.7
115074,114596
140650,139029
148292,146464
306301,300499
100840,104432
99805,102498
151045,150780
134804,132077
170323,170721
124860,128980
122407,125435
73470.9,69036.1
188911,187590
125217,117705
285876,287885
121126,121336
147739,148031
134550,118802
142855,140000
117640,117549
178906,168950
183313,182378
126063,120908
859774,852167
95766.4,97979.5
129462,120186
193611,186562
177636,166947
165597,151548
133842,132061
115714,107056
129952,124179
123432,122416
168207,161132
166235,164830
204888,203946
130779,134621
99913.3,103719
170335,168467
89928,95272.9
111633,112874
89370.9,87929.9
132781,131115
103762,95765.1
255603,256974
92517.1,88115.1
108036,107785
165915,162774
102840,102195
190096,178529
183932,178712
106557,108223
206833,210285
125072,116377
130536,128069
203571,200840
163018,166655
218954,216677
128949,127980
76728.8,79803.4
118650,114802
114842,115064
52241.8,51648.7
51755,51270
176132,177487
235550,224791
470370,474481
302384,225380
65435.9,68122.6
168794,163569
190490,194196
384312,379786
107192,107554
195157,198146
133878,136212
172912,169664
85862.1,88773.7
137533,126694
140176,135520
35381.8,36600.1
228879,218963
149770,143724
116658,118314
232526,226652
204759,203150
173200,169851
287417,277972
163550,160071
131058,134791
256589,147937
218361,217261
145764,144878
153168,153481
78800.9,76428.7
163128,164493
607485,522973
73355.4,72776.6
114831,115723
124278,122991
131830,134694
99209.9,94202.7
133286,131490
173176,161917
138078,138520
131235,126344
74833.8,68933.3
353207,182942
185267,184296
125791,120482
108076,109246
157065,158015
247008,245458
184459,192058
135172,136773
226039,226231
121004,123327
156908,160159
176917,180384
73273.9,75461.3
154158,155588
214008,199272
234325,217334
172840,168709
257260,262494
203677,205191
284318,273307
118442,117712
21222,22684.9
166653,160046
413764,224950
236635,228589
127517,114411
143174,141094
216281,207005
55734.4,57998.5
120151,120555
176613,170173
142139,130119
219930,140896
133901,130469
131224,121620
340088,326680
131023,126906
87628.9,79932.2
568137,524473
128429,126882
175837,176511
95881.9,95349.5
100580,100648
146814,143596
117894,114520
167338,168127
237197,235222
193800,192814
98824.3,98684.2
105958,108457
122391,121105
126501,121317
118998,119685
382429,233571
126601,129051
162647,161156
77548.5,76661
179141,173898
140318,129906
171061,165898
107513,106006
225013,143818
120261,120330
189546,187942
175589,174715
59976,60783
144742,147809
131205,128653
76122.9,76245.1
29612.7,29565.9
110811,109536
162523,162796
57614.9,59886.6
124633,116379
119384,120884
365501,365420
107871,108862
156691,157468
197122,192707
137570,136873
72570.8,73019.4
141700,144743
131316,127707
39573.5,41508.4
128951,130876
103507,100657
180222,178421
118816,119000
148452,143512
75328.7,67219.1
183848,175026
105728,100816
243097,228299
133641,129610
125908,124356
181863,168406
155483,144623
87743.4,87914.2
182111,185621
111341,100881
95227.4,94871.2
212727,209039
211583,204892
280088,286085
131214,130036
130493,129592
115739,113670
254891,256731
70621,69481.5
144641,143249
123911,120515
113075,114848
107412,108053
90194.3,92154.7
191022,183053
126943,124994
182769,181925
135468,132565
106801,101368
44262.3,45104.1
217492,213180
149127,144763
125817,125468
185921,181450
188083,178659
260938,256175
127630,112235
194321,189966
110670,102618
82033.9,80750.3
313327,316212
86462.9,85099.5
154835,151424
149666,142428
149237,144492
224966,212147
624811,619693
131165,128954
37303.9,36629.5
313397,305988
438095,314324
115400,115572
157953,151721
349167,170348
183187,175130
169734,173283
148404,147412
180507,176460
151822,152159
77181.6,76940.3
123096,111797
82625.9,82484.2
85362.8,86189.1
345022,349355
103612,103392
201195,170789
86547.1,88053.9
142343,137267
122990,123961
378044,255796
208238,203002
291082,281198
138794,140322
151530,146183
88764.8,87423.5
125621,122134
241530,233709
171720,173447
171695,164425
127740,127996
131231,130632
50949.7,51381.7
205771,203176
198649,186045
150751,148603
58525.4,56021.1
417482,412809
202456,201162
99285.7,95861.7
115805,113007
121010,115243
407125,294742
140665,135557
131285,127429
113214,109899
101148,102107
74374.2,73104.7
186711,191977
621682,605383
167663,168612
114214,113476
131051,135361
175908,172290
256473,250077
187364,187994
120533,121361
96952,93106.2
115277,112279
139270,139248
274329,269465
128416,123936
117239,118980
150908,151254
206324,192935
85063.8,87215
215545,214411
178275,170553
166663,162973
113138,110736
163375,166162
154132,151497
110104,111261
147168,149173
350990,351992
135584,124694
85013.9,84004.4
116399,114390
154432,141530
78982.2,77442
145479,139830
163291,150902
41114.1,40836.7
131587,130256
194614,196077
198261,195833
359681,350823
192749,185376
93456.9,93358.5
202790,181390
406542,392099
80404.4,82560.3
133657,120833
150847,149407
67426.2,68229.3
136644,135719
305642,197588
431649,438487
290120,228263
77274.1,75257.5
138844,130791
201925,202861
144635,140941
127362,127275
245251,157307
89207.7,90185.1
170166,165723
436956,416473
131182,131278
155484,153803
130589,127720
109671,101454
